item,category,co2_per_unit,unit
BrandA Pillow,Household,44.43,piece
GreenChoice Headphones,Electronics,77.04,piece
GoodFarm Orange,Fruits,0.6,piece
BrandC Laptop,Electronics,66.41,piece
BrandC Oats,Food,3.09,pack
BrandC Carrot,Vegetables,1.87,kg
GreenChoice Pet Shampoo,Pet Supplies,6.99,kg
NaturePlus Croissant,Bakery,1.45,kg
DailyCare Laptop,Electronics,69.83,piece
GoodFarm Shampoo,Personal Care,3.76,piece
EcoLife Shampoo,Personal Care,0.18,piece
GreenChoice Lamb,Meat,18.27,kg
BrandA Phone,Electronics,182.21,piece
GoodFarm Floor Cleaner,Cleaning,8.44,kg
NaturePlus Glass Cleaner,Cleaning,4.46,kg
BrandC Notebook,Stationery,1.83,piece
NaturePlus Pen,Stationery,3.76,piece
NaturePlus Lamb,Meat,15.92,kg
BrandA Turkey,Meat,29.14,kg
GreenChoice Water,Beverages,2.69,bottle
HomeEssentials Milk,Dairy,2.84,liter
EcoLife Oats,Food,3.71,kg
BrandA T-shirt,Clothing,19.88,piece
GoodFarm Shampoo,Personal Care,0.4,piece
HomeEssentials Carrot,Vegetables,1.53,kg
GreenChoice Pet Toy,Pet Supplies,6.19,piece
DailyCare Nuts,Food,2.48,piece
NaturePlus Jeans,Clothing,4.4,piece
BrandB Beef,Meat,20.11,kg
BrandC Muffin,Bakery,3.51,kg
EcoLife Toothpaste,Personal Care,2.87,piece
BrandB Lamp,Household,23.58,piece
GreenChoice Oats,Food,3.82,kg
NaturePlus Grapes,Fruits,0.24,kg
GoodFarm Grapes,Fruits,1.22,kg
DailyCare Laptop,Electronics,142.06,piece
GreenChoice Onion,Vegetables,0.42,piece
EcoLife T-shirt,Clothing,6.73,piece
BrandB Notebook,Stationery,4.37,piece
NaturePlus Coffee,Beverages,0.89,bottle
GoodFarm Pet Toy,Pet Supplies,4.06,kg
HomeEssentials Milk,Dairy,1.17,kg
BrandC Juice,Beverages,2.6,bottle
DailyCare Lamp,Household,42.09,piece
GoodFarm Pen,Stationery,1.91,piece
HomeEssentials Diesel,Transport,2.22,km
BrandA Cream,Dairy,3.0,liter
DailyCare Yogurt,Dairy,4.48,kg
NaturePlus Juice,Beverages,2.29,liter
GoodFarm Coke,Beverages,0.44,bottle
DailyCare Turkey,Meat,24.48,kg
NaturePlus Glass Cleaner,Cleaning,3.38,kg
BrandC Rice,Food,4.61,piece
HomeEssentials Butter,Dairy,4.68,liter
GreenChoice T-shirt,Clothing,12.09,piece
GreenChoice Jeans,Clothing,6.6,piece
HomeEssentials Litter,Pet Supplies,8.33,kg
NaturePlus Coffee,Beverages,1.96,liter
BrandB Pork,Meat,8.11,kg
GoodFarm Pork,Meat,5.41,kg
DailyCare Chair,Household,48.47,piece
BrandC Toothpaste,Personal Care,1.17,piece
EcoLife Bicycle,Transport,3.56,km
NaturePlus Bagel,Bakery,2.45,piece
HomeEssentials Yogurt,Dairy,5.87,kg
BrandA Pasta,Food,1.8,pack
GreenChoice Pork,Meat,5.15,kg
HomeEssentials Floor Cleaner,Cleaning,3.64,liter
HomeEssentials Bagel,Bakery,1.05,kg
NaturePlus Laptop,Electronics,80.22,piece
NaturePlus Soap,Personal Care,4.37,piece
BrandA Pet Shampoo,Pet Supplies,9.02,piece
BrandC TV,Electronics,59.86,piece
GoodFarm Croissant,Bakery,3.69,piece
BrandA Spinach,Vegetables,0.17,piece
NaturePlus Table,Household,26.13,piece
BrandB Yogurt,Dairy,8.57,kg
BrandC Detergent,Cleaning,14.78,kg
GreenChoice Onion,Vegetables,1.95,piece
GreenChoice Chair,Household,36.53,piece
BrandB Headphones,Electronics,183.22,piece
GreenChoice Table,Household,48.08,piece
DailyCare Glass Cleaner,Cleaning,7.84,liter
DailyCare Beef,Meat,25.36,kg
DailyCare Cat Food,Pet Supplies,0.9,piece
DailyCare Cheese,Dairy,3.47,liter
HomeEssentials Water,Beverages,0.73,bottle
BrandC Spinach,Vegetables,1.0,kg
BrandC Chair,Household,33.07,piece
EcoLife Grapes,Fruits,1.92,kg
BrandA Dish Soap,Cleaning,4.41,kg
BrandA Chair,Household,12.83,piece
NaturePlus Sweater,Clothing,17.02,piece
GoodFarm Jeans,Clothing,10.19,piece
DailyCare Carrot,Vegetables,0.2,kg
EcoLife Beef,Meat,19.93,kg
BrandC Cat Food,Pet Supplies,0.94,kg
BrandA Headphones,Electronics,10.09,piece
GoodFarm Sweater,Clothing,8.68,piece
BrandA Milk,Dairy,4.52,kg
BrandB Butter,Dairy,8.72,kg
GreenChoice Milk,Dairy,9.43,liter
NaturePlus Apple,Fruits,0.51,kg
HomeEssentials Cat Food,Pet Supplies,5.75,piece
BrandC Spinach,Vegetables,0.18,piece
BrandA Onion,Vegetables,1.0,kg
DailyCare Dog Food,Pet Supplies,3.74,piece
HomeEssentials Rice,Food,3.32,kg
NaturePlus Bleach,Cleaning,4.58,liter
GreenChoice Lamb,Meat,14.47,kg
BrandA Jeans,Clothing,2.96,piece
EcoLife Tomato,Vegetables,1.4,piece
DailyCare Coffee,Beverages,1.25,bottle
EcoLife Croissant,Bakery,3.29,kg
GreenChoice Floor Cleaner,Cleaning,14.22,piece
BrandA Tomato,Vegetables,1.07,kg
HomeEssentials Cat Food,Pet Supplies,3.18,kg
BrandC Water,Beverages,1.87,bottle
BrandC Pet Shampoo,Pet Supplies,5.38,piece
BrandA Bicycle,Transport,0.18,liter
GoodFarm Water,Beverages,0.44,liter
BrandC Diesel,Transport,2.62,liter
DailyCare Pork,Meat,11.68,kg
GoodFarm Sweater,Clothing,8.08,piece
BrandA Apple,Fruits,1.42,kg
GreenChoice Toothpaste,Personal Care,0.34,piece
GoodFarm Tomato,Vegetables,1.04,piece
GreenChoice Jeans,Clothing,16.71,piece
HomeEssentials Lentils,Food,2.8,piece
HomeEssentials Lamb,Meat,29.77,kg
BrandA Petrol,Transport,0.99,liter
BrandA Lentils,Food,0.47,kg
BrandB Onion,Vegetables,0.95,piece
GreenChoice Dog Food,Pet Supplies,9.15,kg
BrandC Dish Soap,Cleaning,3.68,liter
NaturePlus Tomato,Vegetables,0.41,piece
BrandC Floor Cleaner,Cleaning,14.99,piece
BrandB Table,Household,40.66,piece
GreenChoice Orange,Fruits,1.81,piece
EcoLife Bagel,Bakery,2.8,piece
BrandA Litter,Pet Supplies,9.79,piece
EcoLife Pet Toy,Pet Supplies,2.37,piece
EcoLife Bread,Bakery,1.9,piece
BrandC Tablet,Electronics,182.54,piece
BrandA Tea,Beverages,1.71,bottle
DailyCare Cheese,Dairy,1.42,liter
BrandC Petrol,Transport,3.07,liter
GreenChoice Diesel,Transport,3.28,liter
BrandC Petrol,Transport,3.16,km
GreenChoice Apple,Fruits,0.42,kg
NaturePlus Tea,Beverages,2.6,liter
BrandA Notebook,Stationery,2.65,piece
GreenChoice Shampoo,Personal Care,1.99,piece
EcoLife Tablet,Electronics,197.49,piece
NaturePlus Jacket,Clothing,7.26,piece
GoodFarm Coke,Beverages,2.51,bottle
NaturePlus Pet Toy,Pet Supplies,3.46,piece
BrandB Diesel,Transport,4.33,km
BrandA Nuts,Food,3.4,kg
BrandA Table,Household,39.02,piece
NaturePlus Floor Cleaner,Cleaning,13.99,liter
BrandC Soap,Personal Care,4.33,piece
BrandB Jacket,Clothing,5.17,piece
HomeEssentials T-shirt,Clothing,15.49,piece
BrandB Marker,Stationery,0.38,piece
EcoLife Lamb,Meat,24.36,kg
BrandC Stapler,Stationery,4.67,piece
BrandC Coke,Beverages,0.78,bottle
HomeEssentials Jeans,Clothing,13.0,piece
HomeEssentials Detergent,Cleaning,6.66,kg
NaturePlus Mango,Fruits,0.53,piece
DailyCare Lamp,Household,3.06,piece
NaturePlus Muffin,Bakery,4.86,piece
HomeEssentials Water,Beverages,2.91,liter
HomeEssentials Cream,Dairy,4.83,kg
GoodFarm Shirt,Clothing,18.84,piece
BrandB Bleach,Cleaning,11.56,piece
EcoLife Yogurt,Dairy,1.95,kg
GoodFarm Spinach,Vegetables,0.42,piece
DailyCare Toothpaste,Personal Care,3.74,piece
GoodFarm Bagel,Bakery,3.93,kg
GoodFarm Chicken,Meat,5.28,kg
NaturePlus Lamp,Household,15.02,piece
HomeEssentials Beans,Food,1.35,piece
BrandB Cream,Dairy,7.58,kg
BrandC Deodorant,Personal Care,2.8,piece
GoodFarm Bus Ticket,Transport,0.87,liter
DailyCare Pork,Meat,17.41,kg
GoodFarm Yogurt,Dairy,4.74,liter
GreenChoice Lentils,Food,3.56,pack
GoodFarm Diesel,Transport,3.32,liter
BrandC Cream,Dairy,9.06,liter
BrandA Train Ticket,Transport,3.37,liter
BrandC Mango,Fruits,1.8,kg
GoodFarm Yogurt,Dairy,7.22,kg
BrandB Bus Ticket,Transport,0.3,km
BrandB Table,Household,49.63,piece
DailyCare Cream,Dairy,1.61,liter
BrandA Pen,Stationery,0.82,piece
BrandA Bleach,Cleaning,12.16,piece
GoodFarm Orange,Fruits,0.2,kg
HomeEssentials Deodorant,Personal Care,2.97,piece
BrandA Jacket,Clothing,14.5,piece
BrandB Sweater,Clothing,8.41,piece
BrandB Headphones,Electronics,123.54,piece
BrandB Shampoo,Personal Care,2.88,piece
BrandA Cheese,Dairy,3.8,liter
DailyCare Mango,Fruits,0.19,kg
HomeEssentials Beans,Food,4.45,kg
BrandA T-shirt,Clothing,5.46,piece
BrandA Bread,Bakery,1.74,kg
GoodFarm Pet Toy,Pet Supplies,4.55,kg
BrandB Cream,Dairy,0.71,kg
NaturePlus T-shirt,Clothing,5.72,piece
GoodFarm Oats,Food,3.65,kg
HomeEssentials Beef,Meat,12.31,kg
GoodFarm Dog Food,Pet Supplies,5.58,kg
DailyCare Carrot,Vegetables,1.03,piece
EcoLife Floor Cleaner,Cleaning,3.51,piece
BrandB Chicken,Meat,12.89,kg
EcoLife Dish Soap,Cleaning,14.89,piece
HomeEssentials Beans,Food,4.58,kg
GoodFarm Oats,Food,3.71,pack
BrandB Water,Beverages,0.47,liter
NaturePlus Grapes,Fruits,1.15,kg
HomeEssentials Lamb,Meat,23.65,kg
BrandB Croissant,Bakery,1.55,kg
HomeEssentials Oats,Food,3.08,pack
BrandB Cat Food,Pet Supplies,9.81,kg
BrandC Bus Ticket,Transport,2.17,liter
GoodFarm Jeans,Clothing,11.51,piece
BrandC T-shirt,Clothing,3.16,piece
BrandA Apple,Fruits,1.51,kg
GoodFarm Train Ticket,Transport,2.56,liter
BrandB Coke,Beverages,1.01,liter
GoodFarm Diesel,Transport,1.47,liter
BrandB Deodorant,Personal Care,3.8,piece
BrandC Beef,Meat,10.39,kg
BrandB Tea,Beverages,0.98,bottle
BrandA Grapes,Fruits,0.42,kg
GoodFarm Bus Ticket,Transport,3.8,liter
EcoLife Table,Household,16.54,piece
BrandC Beans,Food,2.46,piece
GoodFarm Phone,Electronics,84.25,piece
EcoLife Onion,Vegetables,1.62,kg
GoodFarm Yogurt,Dairy,3.14,kg
DailyCare Cat Food,Pet Supplies,6.62,piece
EcoLife Lentils,Food,4.08,pack
EcoLife Jacket,Clothing,11.71,piece
GoodFarm Spinach,Vegetables,1.07,kg
BrandC Tea,Beverages,1.42,bottle
HomeEssentials Turkey,Meat,27.28,kg
BrandC Bicycle,Transport,4.96,km
BrandC Cake,Bakery,4.36,kg
NaturePlus Muffin,Bakery,3.2,piece
EcoLife Pork,Meat,24.19,kg
GoodFarm Phone,Electronics,76.25,piece
DailyCare Bleach,Cleaning,5.28,piece
GoodFarm Butter,Dairy,1.06,kg
HomeEssentials Pillow,Household,48.2,piece
EcoLife Pet Shampoo,Pet Supplies,5.47,kg
BrandB Cat Food,Pet Supplies,9.89,piece
GoodFarm Beef,Meat,29.73,kg
NaturePlus Marker,Stationery,0.72,piece
BrandB Croissant,Bakery,4.54,kg
NaturePlus Coffee,Beverages,2.67,bottle
BrandA Headphones,Electronics,58.76,piece
GreenChoice Tea,Beverages,1.96,liter
BrandC Banana,Fruits,0.83,piece
NaturePlus Bicycle,Transport,1.74,liter
DailyCare Pet Shampoo,Pet Supplies,6.43,piece
NaturePlus Litter,Pet Supplies,9.9,kg
EcoLife Potato,Vegetables,1.3,kg
BrandB Beef,Meat,26.08,kg
BrandC Lentils,Food,1.65,piece
BrandC Cat Food,Pet Supplies,7.94,kg
EcoLife TV,Electronics,150.26,piece
GoodFarm Orange,Fruits,1.84,kg
BrandB Marker,Stationery,3.08,piece
GoodFarm Mango,Fruits,0.64,piece
BrandC Coke,Beverages,2.88,liter
BrandB Phone,Electronics,195.27,piece
BrandA Stapler,Stationery,0.94,piece
NaturePlus Dog Food,Pet Supplies,8.26,kg
HomeEssentials Laptop,Electronics,199.07,piece
GreenChoice Bread,Bakery,3.12,piece
EcoLife Water,Beverages,0.59,bottle
GoodFarm Pasta,Food,0.8,kg
NaturePlus Tablet,Electronics,105.07,piece
BrandB Mango,Fruits,1.69,kg
DailyCare Banana,Fruits,1.66,kg
NaturePlus Glass Cleaner,Cleaning,14.33,liter
BrandA Dog Food,Pet Supplies,4.83,piece
BrandA Jacket,Clothing,15.28,piece
DailyCare Soap,Personal Care,1.02,piece
BrandB Toothpaste,Personal Care,1.66,piece
NaturePlus Notebook,Stationery,2.79,piece
HomeEssentials Detergent,Cleaning,9.06,liter
DailyCare Orange,Fruits,0.93,piece
BrandB Phone,Electronics,67.99,piece
BrandC Train Ticket,Transport,0.14,km
BrandB Jacket,Clothing,6.03,piece
BrandC Cheese,Dairy,5.95,liter
NaturePlus Lotion,Personal Care,2.66,piece
NaturePlus Lamp,Household,14.55,piece
HomeEssentials Tablet,Electronics,32.29,piece
GoodFarm Dog Food,Pet Supplies,2.75,piece
BrandA Cat Food,Pet Supplies,8.4,piece
DailyCare Banana,Fruits,1.7,piece
BrandA Jacket,Clothing,10.86,piece
DailyCare Oats,Food,2.82,pack
GoodFarm Stapler,Stationery,1.59,piece
GreenChoice Milk,Dairy,4.91,liter
GoodFarm Marker,Stationery,4.0,piece
EcoLife Lamb,Meat,29.36,kg
GoodFarm Cake,Bakery,0.93,piece
BrandB Pasta,Food,3.85,pack
DailyCare Pet Shampoo,Pet Supplies,3.06,piece
BrandC Tea,Beverages,1.38,liter
BrandA Butter,Dairy,6.99,kg
GoodFarm Cat Food,Pet Supplies,8.51,piece
GoodFarm Lamb,Meat,25.52,kg
GreenChoice Toothpaste,Personal Care,0.54,piece
NaturePlus Lamp,Household,5.38,piece
BrandA Juice,Beverages,1.64,bottle
HomeEssentials Notebook,Stationery,3.67,piece
BrandC Pillow,Household,16.65,piece
NaturePlus Turkey,Meat,27.32,kg
DailyCare Cake,Bakery,4.71,piece
GoodFarm Oats,Food,1.81,pack
BrandB Tablet,Electronics,194.25,piece
NaturePlus Pen,Stationery,4.82,piece
HomeEssentials Tea,Beverages,1.53,bottle
BrandA Pet Shampoo,Pet Supplies,9.97,piece
BrandA TV,Electronics,129.5,piece
NaturePlus Spinach,Vegetables,0.94,piece
BrandC Pillow,Household,36.92,piece
BrandC Water,Beverages,1.32,bottle
NaturePlus Croissant,Bakery,3.62,piece
NaturePlus Jeans,Clothing,7.88,piece
EcoLife Sweater,Clothing,4.03,piece
BrandC Onion,Vegetables,0.3,kg
BrandB Laptop,Electronics,107.59,piece
BrandC Pork,Meat,13.13,kg
BrandC Notebook,Stationery,3.28,piece
EcoLife Jacket,Clothing,5.07,piece
BrandC Laptop,Electronics,165.46,piece
NaturePlus Notebook,Stationery,0.13,piece
NaturePlus Banana,Fruits,0.37,piece
BrandC Marker,Stationery,3.42,piece
BrandA Detergent,Cleaning,7.45,kg
DailyCare Rice,Food,1.43,kg
BrandA Lotion,Personal Care,2.72,piece
EcoLife Headphones,Electronics,175.97,piece
NaturePlus Mattress,Household,13.92,piece
EcoLife Muffin,Bakery,3.43,piece
EcoLife Carrot,Vegetables,1.09,kg
NaturePlus Muffin,Bakery,0.46,kg
GreenChoice Onion,Vegetables,1.36,piece
NaturePlus Beef,Meat,27.57,kg
DailyCare Sweater,Clothing,14.29,piece
HomeEssentials Mattress,Household,22.3,piece
HomeEssentials Muffin,Bakery,0.89,kg
GreenChoice Soap,Personal Care,1.21,piece
GoodFarm Table,Household,8.62,piece
EcoLife Mango,Fruits,1.62,kg
DailyCare Jeans,Clothing,14.91,piece
GoodFarm Stapler,Stationery,4.09,piece
HomeEssentials Bagel,Bakery,3.15,piece
EcoLife Rice,Food,3.74,kg
DailyCare Litter,Pet Supplies,5.51,kg
BrandA Coke,Beverages,0.29,bottle
HomeEssentials Cake,Bakery,4.18,piece
BrandB Headphones,Electronics,81.88,piece
DailyCare Cat Food,Pet Supplies,1.08,piece
HomeEssentials Glass Cleaner,Cleaning,3.09,liter
HomeEssentials Onion,Vegetables,0.08,piece
BrandB Beef,Meat,24.86,kg
DailyCare Bus Ticket,Transport,2.8,km
GoodFarm Phone,Electronics,82.89,piece
BrandB Bicycle,Transport,2.71,liter
BrandB Lotion,Personal Care,3.92,piece
BrandB Lamb,Meat,20.22,kg
NaturePlus Pillow,Household,41.19,piece
EcoLife Bus Ticket,Transport,3.36,km
BrandC Orange,Fruits,0.87,kg
BrandA Diesel,Transport,0.47,liter
GoodFarm Chair,Household,32.05,piece
BrandC Toothpaste,Personal Care,1.36,piece
GreenChoice Soap,Personal Care,3.96,piece
DailyCare Pillow,Household,7.56,piece
GoodFarm Nuts,Food,0.31,kg
BrandC Diesel,Transport,3.19,km
EcoLife Pork,Meat,10.57,kg
BrandC Lamb,Meat,23.81,kg
NaturePlus Paper Pack,Stationery,0.83,piece
BrandC Bus Ticket,Transport,1.25,km
GoodFarm Paper Pack,Stationery,3.43,piece
NaturePlus Floor Cleaner,Cleaning,9.34,liter
NaturePlus Orange,Fruits,0.16,piece
BrandB Marker,Stationery,3.68,piece
GoodFarm Table,Household,45.09,piece
BrandB Croissant,Bakery,3.12,kg
HomeEssentials Detergent,Cleaning,5.09,kg
GoodFarm TV,Electronics,41.16,piece
GoodFarm Turkey,Meat,7.73,kg
BrandB Cake,Bakery,0.55,piece
BrandA Dish Soap,Cleaning,10.41,liter
HomeEssentials Detergent,Cleaning,13.07,piece
GoodFarm Rice,Food,0.74,pack
BrandC Pet Shampoo,Pet Supplies,0.47,piece
HomeEssentials Notebook,Stationery,4.25,piece
EcoLife Train Ticket,Transport,4.25,liter
BrandA Sweater,Clothing,3.88,piece
BrandA Mattress,Household,23.51,piece
BrandA Croissant,Bakery,0.66,piece
DailyCare Bagel,Bakery,1.44,kg
BrandA Petrol,Transport,4.89,liter
NaturePlus Phone,Electronics,99.6,piece
EcoLife Banana,Fruits,1.56,piece
BrandC Detergent,Cleaning,1.8,liter
GoodFarm Floor Cleaner,Cleaning,7.03,liter
GreenChoice Orange,Fruits,0.43,kg
DailyCare Carrot,Vegetables,1.33,piece
NaturePlus Marker,Stationery,3.35,piece
EcoLife Bagel,Bakery,2.58,piece
HomeEssentials Apple,Fruits,0.25,piece
NaturePlus Apple,Fruits,0.31,kg
BrandC Tomato,Vegetables,0.21,piece
BrandA Jeans,Clothing,12.16,piece
BrandA Carrot,Vegetables,0.74,piece
BrandA Rice,Food,3.85,pack
HomeEssentials Bicycle,Transport,3.91,km
EcoLife Jacket,Clothing,5.95,piece
EcoLife Coke,Beverages,1.64,bottle
GoodFarm Lotion,Personal Care,2.34,piece
GoodFarm Chicken,Meat,27.53,kg
BrandC Petrol,Transport,3.79,km
DailyCare Cream,Dairy,7.09,kg
BrandA Mattress,Household,26.84,piece
BrandA Tomato,Vegetables,1.74,piece
BrandB Soap,Personal Care,1.18,piece
GreenChoice Yogurt,Dairy,4.42,kg
GreenChoice Glass Cleaner,Cleaning,9.52,kg
EcoLife Tea,Beverages,1.21,liter
BrandA Stapler,Stationery,3.09,piece
BrandB Butter,Dairy,5.13,kg
GreenChoice Pork,Meat,20.67,kg
BrandC Deodorant,Personal Care,3.62,piece
BrandA Banana,Fruits,0.42,piece
GreenChoice Water,Beverages,2.6,liter
HomeEssentials Pet Toy,Pet Supplies,9.07,piece
DailyCare Dog Food,Pet Supplies,2.64,piece
BrandC Cake,Bakery,0.94,kg
DailyCare Mattress,Household,33.92,piece
BrandA Bagel,Bakery,1.07,kg
NaturePlus TV,Electronics,126.7,piece
BrandC Muffin,Bakery,3.68,piece
BrandC Apple,Fruits,1.17,kg
GreenChoice Grapes,Fruits,0.47,piece
EcoLife Glass Cleaner,Cleaning,13.35,piece
GreenChoice Croissant,Bakery,2.1,kg
EcoLife Mango,Fruits,0.33,kg
BrandB Coffee,Beverages,1.78,liter
GreenChoice Croissant,Bakery,3.27,kg
GoodFarm Banana,Fruits,1.39,piece
GoodFarm Nuts,Food,3.32,pack
DailyCare Turkey,Meat,25.77,kg
GreenChoice Dish Soap,Cleaning,12.0,kg
GoodFarm Dog Food,Pet Supplies,5.18,kg
EcoLife Milk,Dairy,7.12,liter
NaturePlus Bagel,Bakery,2.77,piece
BrandB Lotion,Personal Care,2.31,piece
HomeEssentials Sweater,Clothing,17.54,piece
DailyCare Bus Ticket,Transport,0.5,km
GoodFarm Lentils,Food,4.96,pack
NaturePlus T-shirt,Clothing,6.67,piece
BrandA Tomato,Vegetables,0.95,piece
GreenChoice Bread,Bakery,1.23,piece
GreenChoice Rice,Food,1.65,pack
BrandA Mango,Fruits,1.94,piece
BrandA Spinach,Vegetables,1.08,kg
BrandA T-shirt,Clothing,15.66,piece
EcoLife Lamp,Household,34.34,piece
BrandC Tomato,Vegetables,1.61,piece
BrandA Muffin,Bakery,4.23,kg
NaturePlus Marker,Stationery,1.93,piece
BrandB Headphones,Electronics,71.67,piece
GoodFarm Pet Toy,Pet Supplies,7.12,kg
GreenChoice Beans,Food,4.39,pack
GreenChoice Pen,Stationery,2.39,piece
BrandA Pillow,Household,16.33,piece
HomeEssentials Dog Food,Pet Supplies,8.75,piece
BrandA Beans,Food,1.43,piece
BrandA Milk,Dairy,7.55,liter
BrandB Dog Food,Pet Supplies,9.65,piece
BrandB Coke,Beverages,0.45,bottle
HomeEssentials Turkey,Meat,11.36,kg
BrandA Pillow,Household,45.46,piece
EcoLife Jeans,Clothing,11.85,piece
HomeEssentials Train Ticket,Transport,4.99,liter
GoodFarm Toothpaste,Personal Care,4.92,piece
BrandB Pen,Stationery,2.82,piece
GoodFarm Jeans,Clothing,12.03,piece
GoodFarm Bread,Bakery,1.56,kg
EcoLife Shampoo,Personal Care,0.42,piece
HomeEssentials Bread,Bakery,2.1,kg
NaturePlus Beans,Food,2.96,pack
DailyCare Phone,Electronics,189.91,piece
GreenChoice Turkey,Meat,28.12,kg
GreenChoice Cream,Dairy,5.68,liter
EcoLife Potato,Vegetables,1.86,piece
BrandA Grapes,Fruits,0.57,piece
EcoLife Detergent,Cleaning,11.0,liter
HomeEssentials Turkey,Meat,20.59,kg
NaturePlus T-shirt,Clothing,11.24,piece
BrandC Cake,Bakery,3.72,piece
GreenChoice Pen,Stationery,3.05,piece
BrandC Shirt,Clothing,11.6,piece
GoodFarm Pork,Meat,18.36,kg
DailyCare Cat Food,Pet Supplies,3.42,piece
GreenChoice Rice,Food,4.53,pack
DailyCare Dog Food,Pet Supplies,6.35,piece
GoodFarm Orange,Fruits,0.69,kg
EcoLife Shampoo,Personal Care,2.83,piece
NaturePlus Tablet,Electronics,163.86,piece
DailyCare Pasta,Food,2.81,pack
EcoLife Rice,Food,3.16,piece
NaturePlus Chair,Household,25.85,piece
BrandC Mango,Fruits,0.92,kg
GreenChoice Bus Ticket,Transport,1.48,km
HomeEssentials Carrot,Vegetables,1.4,kg
BrandC Mango,Fruits,0.4,kg
BrandB Coke,Beverages,0.66,liter
DailyCare Pet Toy,Pet Supplies,9.4,piece
BrandA Litter,Pet Supplies,8.89,kg
BrandC Bagel,Bakery,2.28,piece
DailyCare Pet Toy,Pet Supplies,7.33,piece
BrandC Notebook,Stationery,2.55,piece
HomeEssentials Train Ticket,Transport,1.51,liter
NaturePlus Marker,Stationery,3.3,piece
BrandB Phone,Electronics,19.52,piece
BrandC Shampoo,Personal Care,3.89,piece
BrandC Onion,Vegetables,1.24,kg
HomeEssentials Deodorant,Personal Care,1.94,piece
DailyCare Water,Beverages,1.43,bottle
