item,category,co2_per_unit,unit
EcoLife Phone,Electronics,58.3,piece
BrandC Beans,Food,1.85,pack
BrandA Grapes,Fruits,0.52,piece
BrandA Butter,Dairy,9.18,kg
EcoLife Laptop,Electronics,161.77,piece
EcoLife Lotion,Personal Care,2.73,piece
BrandC Butter,Dairy,3.82,liter
NaturePlus Laptop,Electronics,24.15,piece
BrandA Orange,Fruits,0.83,piece
NaturePlus Tablet,Electronics,198.88,piece
EcoLife Beef,Meat,18.53,kg
BrandB Jeans,Clothing,15.92,piece
BrandB Laptop,Electronics,55.46,piece
BrandB Phone,Electronics,62.59,piece
NaturePlus Tablet,Electronics,148.97,piece
GoodFarm Coke,Beverages,2.46,bottle
EcoLife Yogurt,Dairy,3.04,liter
BrandC Spinach,Vegetables,1.64,piece
EcoLife Spinach,Vegetables,1.53,kg
BrandC Apple,Fruits,1.93,kg
GoodFarm Toothpaste,Personal Care,2.72,piece
BrandA Orange,Fruits,0.53,piece
BrandB Juice,Beverages,0.75,bottle
BrandA Tablet,Electronics,43.41,piece
NaturePlus Juice,Beverages,0.65,bottle
BrandC Toothpaste,Personal Care,1.15,piece
GoodFarm Potato,Vegetables,0.51,piece
EcoLife Headphones,Electronics,196.45,piece
BrandA Headphones,Electronics,34.59,piece
BrandA Jeans,Clothing,6.77,piece
GoodFarm Cheese,Dairy,5.68,kg
BrandC Jeans,Clothing,2.72,piece
BrandB Banana,Fruits,0.9,kg
BrandB Apple,Fruits,0.16,kg
BrandB Lentils,Food,3.25,pack
BrandB Oats,Food,0.46,kg
NaturePlus Onion,Vegetables,0.67,kg
BrandC Shampoo,Personal Care,0.37,piece
BrandA Chicken,Meat,14.31,kg
BrandC T-shirt,Clothing,6.23,piece
NaturePlus Sweater,Clothing,18.58,piece
GoodFarm Pasta,Food,2.3,piece
BrandC Carrot,Vegetables,0.33,piece
NaturePlus Headphones,Electronics,56.75,piece
BrandC Tea,Beverages,2.0,bottle
BrandC Deodorant,Personal Care,3.63,piece
EcoLife Banana,Fruits,1.63,kg
BrandC Banana,Fruits,1.3,kg
BrandB Sweater,Clothing,7.81,piece
BrandB Turkey,Meat,18.61,kg
NaturePlus Carrot,Vegetables,0.33,piece
GoodFarm T-shirt,Clothing,17.48,piece
BrandB Beans,Food,1.67,piece
BrandC Tablet,Electronics,198.44,piece
BrandC Coffee,Beverages,0.43,bottle
BrandC TV,Electronics,183.04,piece
BrandA Jeans,Clothing,17.71,piece
BrandB Lotion,Personal Care,1.86,piece
BrandB Carrot,Vegetables,1.38,kg
BrandC Spinach,Vegetables,1.74,piece
GoodFarm Spinach,Vegetables,1.97,piece
EcoLife Grapes,Fruits,0.14,kg
EcoLife Cake,Bakery,2.03,kg
EcoLife Lentils,Food,3.42,kg
BrandC Coffee,Beverages,1.78,bottle
GoodFarm Sweater,Clothing,18.85,piece
BrandC Phone,Electronics,161.79,piece
BrandB Lotion,Personal Care,2.39,piece
EcoLife Cake,Bakery,2.72,piece
BrandC Grapes,Fruits,0.2,kg
GoodFarm Rice,Food,2.83,pack
BrandC Coke,Beverages,2.04,liter
GoodFarm Carrot,Vegetables,1.78,kg
NaturePlus Lotion,Personal Care,1.46,piece
BrandC Jacket,Clothing,6.25,piece
GoodFarm Chicken,Meat,26.82,kg
GoodFarm Lentils,Food,3.95,piece
BrandC Shirt,Clothing,9.4,piece
GoodFarm Coffee,Beverages,2.96,bottle
EcoLife Apple,Fruits,0.56,kg
BrandA Cream,Dairy,5.69,liter
GoodFarm Beans,Food,3.06,kg
BrandA Croissant,Bakery,0.71,piece
GoodFarm Cream,Dairy,4.87,liter
BrandC Rice,Food,0.79,piece
NaturePlus Tablet,Electronics,149.23,piece
BrandB T-shirt,Clothing,2.33,piece
GoodFarm Carrot,Vegetables,1.95,piece
BrandC Jeans,Clothing,8.84,piece
BrandC Jacket,Clothing,19.52,piece
NaturePlus Pasta,Food,4.42,kg
BrandA Grapes,Fruits,1.52,piece
BrandB Tablet,Electronics,27.51,piece
NaturePlus Rice,Food,3.18,kg
GoodFarm Banana,Fruits,0.32,kg
EcoLife Milk,Dairy,0.5,kg
EcoLife Yogurt,Dairy,2.28,liter
EcoLife Beans,Food,0.34,piece
EcoLife Tomato,Vegetables,0.63,kg
BrandA Croissant,Bakery,2.67,kg
EcoLife Yogurt,Dairy,5.97,kg
BrandC Rice,Food,1.16,pack
BrandB Mango,Fruits,0.52,piece
EcoLife Jacket,Clothing,17.63,piece
EcoLife Water,Beverages,1.52,liter
BrandA Oats,Food,1.78,kg
EcoLife Rice,Food,3.41,pack
NaturePlus Tablet,Electronics,166.99,piece
BrandC Shampoo,Personal Care,4.26,piece
BrandA Pasta,Food,4.98,pack
GoodFarm Lotion,Personal Care,4.52,piece
EcoLife T-shirt,Clothing,15.8,piece
GoodFarm T-shirt,Clothing,5.79,piece
BrandA Tea,Beverages,2.49,liter
GoodFarm Bread,Bakery,1.82,kg
BrandA Milk,Dairy,6.01,kg
EcoLife Beef,Meat,13.48,kg
BrandA T-shirt,Clothing,5.75,piece
GoodFarm Bread,Bakery,1.79,piece
BrandA Water,Beverages,2.09,liter
BrandA Bagel,Bakery,0.33,kg
EcoLife Apple,Fruits,1.06,kg
NaturePlus Onion,Vegetables,0.3,piece
BrandC Coffee,Beverages,2.21,bottle
EcoLife Beans,Food,0.52,kg
BrandC Jacket,Clothing,13.51,piece
GoodFarm Banana,Fruits,1.71,kg
BrandA Chicken,Meat,16.79,kg
BrandA Phone,Electronics,53.39,piece
BrandB Coffee,Beverages,0.6,bottle
BrandC Soap,Personal Care,4.27,piece
BrandC Deodorant,Personal Care,4.65,piece
BrandC Cream,Dairy,0.79,liter
NaturePlus Laptop,Electronics,117.71,piece
BrandC Mango,Fruits,1.44,piece
BrandA Rice,Food,3.08,kg
EcoLife Turkey,Meat,15.68,kg
BrandC Cake,Bakery,4.93,kg
GoodFarm Spinach,Vegetables,1.06,kg
BrandB Butter,Dairy,3.35,liter
GoodFarm Cake,Bakery,0.95,piece
BrandA Croissant,Bakery,2.2,piece
BrandC Mango,Fruits,1.48,kg
BrandC Bagel,Bakery,4.13,piece
BrandA Lotion,Personal Care,4.95,piece
GoodFarm Water,Beverages,0.75,liter
BrandC Cheese,Dairy,6.35,kg
BrandB Tea,Beverages,0.63,liter
BrandC Pork,Meat,9.65,kg
GoodFarm Orange,Fruits,0.82,kg
NaturePlus Sweater,Clothing,3.87,piece
BrandA Shirt,Clothing,5.59,piece
GoodFarm TV,Electronics,90.23,piece
BrandC Pasta,Food,0.43,piece
BrandC Tea,Beverages,2.58,liter
BrandB Chicken,Meat,20.09,kg
NaturePlus Cream,Dairy,6.46,liter
GoodFarm Shampoo,Personal Care,0.41,piece
EcoLife Jacket,Clothing,7.1,piece
BrandC Muffin,Bakery,0.9,piece
BrandC Carrot,Vegetables,1.16,kg
EcoLife Milk,Dairy,6.01,liter
BrandA Orange,Fruits,0.9,piece
GoodFarm Deodorant,Personal Care,4.62,piece
BrandB Bread,Bakery,4.25,kg
BrandB Croissant,Bakery,4.88,piece
BrandB Jeans,Clothing,15.94,piece
BrandA Bagel,Bakery,1.83,kg
BrandC Beans,Food,1.36,pack
BrandB Grapes,Fruits,1.82,kg
EcoLife Beef,Meat,15.3,kg
EcoLife Jeans,Clothing,15.7,piece
BrandC Bagel,Bakery,4.43,kg
GoodFarm Cheese,Dairy,2.05,kg
NaturePlus Lentils,Food,3.09,piece
BrandA Lotion,Personal Care,1.18,piece
BrandB Croissant,Bakery,3.77,piece
GoodFarm Turkey,Meat,18.01,kg
BrandA Apple,Fruits,1.18,kg
GoodFarm Sweater,Clothing,2.04,piece
EcoLife Cream,Dairy,3.18,kg
GoodFarm Spinach,Vegetables,1.0,piece
NaturePlus Mango,Fruits,1.02,kg
BrandC Water,Beverages,2.0,bottle
EcoLife Grapes,Fruits,1.31,kg
GoodFarm Rice,Food,3.04,kg
NaturePlus Jeans,Clothing,14.92,piece
BrandC Jacket,Clothing,8.62,piece
BrandC Juice,Beverages,2.66,liter
NaturePlus Spinach,Vegetables,0.64,kg
BrandB Beans,Food,4.41,kg
BrandC Mango,Fruits,1.35,piece
BrandA Tablet,Electronics,94.13,piece
BrandC Pork,Meat,9.33,kg
EcoLife Shampoo,Personal Care,4.41,piece
BrandB Coke,Beverages,1.26,bottle
EcoLife Shampoo,Personal Care,4.47,piece
BrandA Cake,Bakery,0.35,kg
BrandC TV,Electronics,20.03,piece
BrandA Cake,Bakery,2.03,piece
BrandC Deodorant,Personal Care,1.69,piece
GoodFarm Onion,Vegetables,0.26,kg
EcoLife Pasta,Food,3.83,piece
GoodFarm Grapes,Fruits,1.68,piece
NaturePlus Apple,Fruits,1.2,kg
NaturePlus Cake,Bakery,2.02,kg
BrandA Jacket,Clothing,5.18,piece
GoodFarm Banana,Fruits,0.83,kg
GoodFarm Tablet,Electronics,181.49,piece
NaturePlus Deodorant,Personal Care,4.27,piece
BrandB Deodorant,Personal Care,0.3,piece
GoodFarm Cake,Bakery,1.64,piece
GoodFarm Beans,Food,2.35,kg
BrandB Headphones,Electronics,85.6,piece
BrandB Bagel,Bakery,4.8,piece
EcoLife Mango,Fruits,1.27,piece
BrandC Jeans,Clothing,14.3,piece
BrandA Lotion,Personal Care,2.23,piece
BrandC Banana,Fruits,1.92,kg
GoodFarm Tea,Beverages,2.17,liter
EcoLife Muffin,Bakery,3.4,kg
EcoLife Shampoo,Personal Care,0.48,piece
BrandB Lamb,Meat,8.93,kg
BrandA Onion,Vegetables,0.73,kg
GoodFarm Carrot,Vegetables,0.07,piece
BrandB Beef,Meat,13.0,kg
EcoLife Chicken,Meat,16.75,kg
BrandC Rice,Food,0.9,kg
BrandB Chicken,Meat,5.29,kg
BrandB Cream,Dairy,4.92,liter
BrandC Water,Beverages,2.59,liter
EcoLife Sweater,Clothing,16.74,piece
BrandC Croissant,Bakery,1.43,kg
BrandA Yogurt,Dairy,9.39,liter
BrandA Tablet,Electronics,59.31,piece
GoodFarm Jacket,Clothing,9.37,piece
GoodFarm Potato,Vegetables,0.98,kg
BrandA Deodorant,Personal Care,3.99,piece
BrandA Cheese,Dairy,0.74,liter
NaturePlus Carrot,Vegetables,1.08,kg
NaturePlus Water,Beverages,1.04,bottle
NaturePlus Cake,Bakery,1.33,piece
EcoLife Banana,Fruits,0.43,piece
GoodFarm Croissant,Bakery,3.79,piece
BrandC Coffee,Beverages,0.24,liter
GoodFarm Muffin,Bakery,4.77,kg
BrandC Tea,Beverages,2.94,bottle
BrandA Tablet,Electronics,160.69,piece
NaturePlus Deodorant,Personal Care,4.53,piece
BrandC Bread,Bakery,4.54,piece
BrandB T-shirt,Clothing,15.9,piece
NaturePlus Orange,Fruits,1.44,kg
BrandB Juice,Beverages,1.86,liter
EcoLife Water,Beverages,2.06,bottle
BrandB Lentils,Food,0.82,kg
GoodFarm TV,Electronics,168.68,piece
EcoLife Tomato,Vegetables,1.4,piece
NaturePlus TV,Electronics,105.67,piece
BrandC Banana,Fruits,0.89,piece
BrandA Beef,Meat,28.2,kg
BrandA Potato,Vegetables,0.24,kg
NaturePlus Apple,Fruits,0.83,kg
GoodFarm Beans,Food,4.29,pack
BrandA Lotion,Personal Care,2.7,piece
BrandB TV,Electronics,113.18,piece
BrandC Carrot,Vegetables,0.86,kg
BrandC TV,Electronics,77.88,piece
EcoLife Banana,Fruits,1.03,piece
GoodFarm Shampoo,Personal Care,4.31,piece
NaturePlus Headphones,Electronics,77.81,piece
NaturePlus Croissant,Bakery,2.31,piece
GoodFarm Cake,Bakery,1.54,kg
NaturePlus Croissant,Bakery,0.34,piece
GoodFarm Onion,Vegetables,0.2,kg
NaturePlus Phone,Electronics,75.63,piece
BrandB Cream,Dairy,8.72,kg
NaturePlus Muffin,Bakery,1.82,kg
BrandA Laptop,Electronics,163.61,piece
BrandB Apple,Fruits,0.17,kg
NaturePlus Onion,Vegetables,0.68,kg
NaturePlus Tomato,Vegetables,0.49,piece
EcoLife Shampoo,Personal Care,0.51,piece
GoodFarm Shampoo,Personal Care,3.77,piece
EcoLife Bread,Bakery,0.63,kg
BrandA Bread,Bakery,2.0,kg
BrandB Spinach,Vegetables,0.6,kg
EcoLife Yogurt,Dairy,9.21,kg
BrandB Shirt,Clothing,18.18,piece
BrandC Onion,Vegetables,1.12,kg
BrandA Orange,Fruits,0.91,kg
NaturePlus Lentils,Food,2.98,pack
GoodFarm Tablet,Electronics,101.69,piece
GoodFarm Turkey,Meat,18.31,kg
BrandC Beef,Meat,22.29,kg
EcoLife Banana,Fruits,1.94,piece
GoodFarm Shirt,Clothing,17.86,piece
BrandC Headphones,Electronics,166.31,piece
GoodFarm Croissant,Bakery,4.3,kg
NaturePlus Beans,Food,2.06,piece
GoodFarm Coke,Beverages,2.11,liter
BrandA Butter,Dairy,6.9,kg
BrandC Croissant,Bakery,1.4,kg
EcoLife Water,Beverages,1.46,liter
EcoLife Beans,Food,0.11,kg
NaturePlus Bagel,Bakery,1.59,kg
BrandC Juice,Beverages,0.84,liter
BrandA Beef,Meat,16.05,kg
NaturePlus Lentils,Food,2.91,kg
NaturePlus Shirt,Clothing,7.75,piece
BrandB Potato,Vegetables,0.54,kg
NaturePlus Grapes,Fruits,0.11,kg
BrandB Juice,Beverages,2.45,bottle
BrandC Banana,Fruits,1.15,piece
EcoLife Bread,Bakery,3.98,kg
EcoLife Carrot,Vegetables,1.32,kg
BrandB Spinach,Vegetables,0.07,piece
BrandA Shirt,Clothing,5.16,piece
NaturePlus Jeans,Clothing,14.36,piece
BrandB Butter,Dairy,0.78,liter
EcoLife Lotion,Personal Care,3.62,piece
BrandC Oats,Food,0.67,pack
GoodFarm Cake,Bakery,1.37,piece
BrandA Sweater,Clothing,19.97,piece
EcoLife Lamb,Meat,10.32,kg
BrandA Bagel,Bakery,1.28,kg
GoodFarm Bagel,Bakery,1.5,kg
EcoLife Tomato,Vegetables,1.05,kg
BrandA Cheese,Dairy,2.91,kg
EcoLife Pasta,Food,4.11,piece
BrandA Headphones,Electronics,34.79,piece
BrandA Bagel,Bakery,3.03,piece
BrandA Bagel,Bakery,4.82,kg
GoodFarm Lotion,Personal Care,3.66,piece
GoodFarm Water,Beverages,2.91,liter
BrandB Juice,Beverages,0.95,liter
BrandC Muffin,Bakery,4.17,kg
BrandB T-shirt,Clothing,4.55,piece
BrandA Pasta,Food,2.68,pack
GoodFarm Sweater,Clothing,13.44,piece
NaturePlus Deodorant,Personal Care,3.74,piece
NaturePlus Sweater,Clothing,18.37,piece
BrandA Pork,Meat,16.37,kg
NaturePlus Shampoo,Personal Care,4.13,piece
BrandA Bagel,Bakery,2.67,kg
EcoLife Tomato,Vegetables,1.78,piece
GoodFarm Soap,Personal Care,0.24,piece
BrandA Carrot,Vegetables,1.51,piece
NaturePlus Lamb,Meat,18.86,kg
NaturePlus Chicken,Meat,10.32,kg
NaturePlus Oats,Food,0.84,piece
BrandC Tablet,Electronics,57.14,piece
EcoLife Pork,Meat,25.43,kg
GoodFarm Pork,Meat,25.38,kg
NaturePlus Mango,Fruits,0.89,kg
BrandA Potato,Vegetables,1.77,kg
BrandC Sweater,Clothing,10.03,piece
GoodFarm Tomato,Vegetables,1.31,kg
BrandC Orange,Fruits,0.43,kg
NaturePlus Water,Beverages,2.14,bottle
BrandA Jacket,Clothing,14.04,piece
EcoLife Deodorant,Personal Care,1.22,piece
BrandC Rice,Food,4.67,kg
GoodFarm Mango,Fruits,0.18,piece
EcoLife Mango,Fruits,0.96,kg
BrandB Orange,Fruits,1.46,piece
BrandA Tomato,Vegetables,0.37,piece
NaturePlus Soap,Personal Care,1.27,piece
BrandA Tablet,Electronics,81.75,piece
NaturePlus Juice,Beverages,0.26,bottle
NaturePlus Milk,Dairy,6.48,liter
GoodFarm Chicken,Meat,6.93,kg
BrandB Coke,Beverages,2.77,liter
BrandC Mango,Fruits,0.21,kg
BrandB Oats,Food,3.61,kg
BrandA Pork,Meat,16.84,kg
EcoLife Onion,Vegetables,1.99,piece
NaturePlus Coke,Beverages,2.68,liter
BrandA Tomato,Vegetables,0.64,piece
NaturePlus Chicken,Meat,12.21,kg
EcoLife Bread,Bakery,0.7,piece
EcoLife Tea,Beverages,2.59,bottle
BrandA Tea,Beverages,2.14,bottle
NaturePlus Soap,Personal Care,2.04,piece
BrandB Sweater,Clothing,16.64,piece
BrandA Spinach,Vegetables,1.61,kg
GoodFarm T-shirt,Clothing,4.96,piece
GoodFarm Oats,Food,3.54,pack
NaturePlus Bread,Bakery,2.24,kg
GoodFarm Orange,Fruits,0.99,piece
NaturePlus Cream,Dairy,9.3,liter
EcoLife Coke,Beverages,0.21,bottle
BrandC Headphones,Electronics,152.46,piece
BrandB Cheese,Dairy,8.93,liter
BrandB T-shirt,Clothing,13.98,piece
BrandA Lamb,Meat,28.65,kg
BrandB Tomato,Vegetables,1.35,kg
EcoLife Jeans,Clothing,5.86,piece
BrandA Coffee,Beverages,2.3,liter
BrandB Rice,Food,2.78,piece
BrandB Bread,Bakery,4.67,piece
BrandA Lotion,Personal Care,1.71,piece
GoodFarm Lamb,Meat,24.02,kg
BrandC TV,Electronics,178.17,piece
BrandB Deodorant,Personal Care,4.47,piece
EcoLife Cake,Bakery,4.36,piece
GoodFarm Shirt,Clothing,15.22,piece
GoodFarm Lamb,Meat,9.29,kg
GoodFarm Onion,Vegetables,0.35,piece
EcoLife Bread,Bakery,4.94,piece
NaturePlus Oats,Food,3.52,pack
NaturePlus Cake,Bakery,2.55,kg
EcoLife Headphones,Electronics,137.42,piece
BrandB Rice,Food,1.88,kg
BrandB Tea,Beverages,2.7,liter
NaturePlus Mango,Fruits,1.27,piece
NaturePlus Bagel,Bakery,1.37,kg
EcoLife Headphones,Electronics,84.37,piece
EcoLife Carrot,Vegetables,0.56,piece
BrandB Bread,Bakery,1.45,kg
BrandC Banana,Fruits,0.2,kg
BrandA Toothpaste,Personal Care,4.67,piece
GoodFarm Lamb,Meat,5.38,kg
BrandB Lamb,Meat,23.14,kg
NaturePlus Butter,Dairy,9.84,liter
NaturePlus Tea,Beverages,2.52,bottle
BrandC Tablet,Electronics,177.94,piece
EcoLife Pork,Meat,16.21,kg
BrandB Milk,Dairy,7.49,kg
NaturePlus Spinach,Vegetables,0.9,piece
BrandB Tea,Beverages,0.55,bottle
BrandB Potato,Vegetables,1.9,piece
BrandC Coke,Beverages,1.69,liter
NaturePlus Jeans,Clothing,17.54,piece
EcoLife Orange,Fruits,0.18,kg
BrandB Bagel,Bakery,4.96,piece
BrandC Spinach,Vegetables,1.65,piece
EcoLife Rice,Food,2.57,kg
NaturePlus Sweater,Clothing,12.26,piece
EcoLife Laptop,Electronics,113.89,piece
EcoLife Headphones,Electronics,160.64,piece
BrandC Coke,Beverages,2.66,liter
BrandC Jacket,Clothing,11.22,piece
NaturePlus Phone,Electronics,34.64,piece
BrandA Coke,Beverages,2.85,liter
BrandA Tea,Beverages,2.16,bottle
BrandB T-shirt,Clothing,14.44,piece
EcoLife Lamb,Meat,22.91,kg
BrandC Mango,Fruits,1.86,piece
EcoLife Banana,Fruits,0.47,piece
BrandA Cake,Bakery,3.82,kg
BrandB Shirt,Clothing,12.01,piece
EcoLife TV,Electronics,97.72,piece
BrandB TV,Electronics,53.53,piece
EcoLife Phone,Electronics,158.81,piece
BrandB Shirt,Clothing,10.66,piece
BrandA Laptop,Electronics,65.7,piece
GoodFarm Jacket,Clothing,16.1,piece
BrandB Pork,Meat,21.69,kg
BrandC Cheese,Dairy,4.99,liter
BrandB Lamb,Meat,9.56,kg
EcoLife Juice,Beverages,2.35,liter
GoodFarm Lentils,Food,4.55,kg
NaturePlus Cake,Bakery,3.76,piece
BrandB Phone,Electronics,190.2,piece
GoodFarm Lentils,Food,0.33,pack
BrandA Toothpaste,Personal Care,4.53,piece
BrandC Beef,Meat,13.36,kg
EcoLife Yogurt,Dairy,1.43,kg
BrandA Cheese,Dairy,0.77,liter
GoodFarm Lentils,Food,4.93,kg
BrandB Sweater,Clothing,2.02,piece
BrandA Deodorant,Personal Care,0.51,piece
EcoLife Coffee,Beverages,1.14,liter
BrandA Water,Beverages,0.2,bottle
GoodFarm Jeans,Clothing,2.08,piece
EcoLife T-shirt,Clothing,19.3,piece
EcoLife Bread,Bakery,4.0,piece
BrandC Butter,Dairy,6.06,liter
BrandC Jacket,Clothing,16.45,piece
NaturePlus Pork,Meat,9.62,kg
EcoLife Tomato,Vegetables,1.01,piece
BrandA T-shirt,Clothing,14.83,piece
BrandA Coffee,Beverages,1.14,liter
BrandA Bread,Bakery,1.33,kg
NaturePlus Cake,Bakery,2.94,kg
BrandB Tea,Beverages,1.27,bottle
BrandB Milk,Dairy,6.07,kg
EcoLife Yogurt,Dairy,8.09,liter
BrandA Rice,Food,1.1,kg
BrandC Spinach,Vegetables,1.52,kg
BrandB Apple,Fruits,1.44,kg
GoodFarm Tomato,Vegetables,1.87,kg
BrandB Cheese,Dairy,7.22,kg
GoodFarm Grapes,Fruits,1.96,kg
BrandC Lotion,Personal Care,0.37,piece
GoodFarm Tomato,Vegetables,0.2,piece
BrandC Beef,Meat,7.32,kg
BrandA Cream,Dairy,6.98,liter
BrandA Phone,Electronics,32.74,piece
BrandA Yogurt,Dairy,8.32,kg
GoodFarm Cream,Dairy,9.59,kg
EcoLife Lamb,Meat,26.95,kg
BrandC Mango,Fruits,0.92,kg
BrandB Chicken,Meat,19.51,kg
BrandC Laptop,Electronics,122.34,piece
NaturePlus Bagel,Bakery,3.53,piece
BrandB Lotion,Personal Care,4.36,piece
GoodFarm Oats,Food,3.48,kg
BrandA Lamb,Meat,28.64,kg
BrandB Banana,Fruits,1.36,kg
GoodFarm Tomato,Vegetables,1.07,kg
BrandC Headphones,Electronics,159.2,piece
EcoLife Cheese,Dairy,0.78,kg
BrandC Phone,Electronics,94.38,piece
EcoLife Tablet,Electronics,43.38,piece
NaturePlus Turkey,Meat,28.27,kg
BrandB Apple,Fruits,0.63,piece
BrandA Toothpaste,Personal Care,1.06,piece
EcoLife T-shirt,Clothing,18.08,piece
GoodFarm T-shirt,Clothing,11.31,piece
BrandB Pasta,Food,4.71,kg
BrandC Mango,Fruits,1.4,piece
BrandA Juice,Beverages,2.94,liter
BrandA Rice,Food,4.65,piece
GoodFarm Cake,Bakery,4.63,kg
BrandA Carrot,Vegetables,1.82,piece
BrandA Apple,Fruits,1.33,kg
NaturePlus Cheese,Dairy,4.24,kg
BrandB Coffee,Beverages,2.18,bottle
NaturePlus Mango,Fruits,0.66,piece
BrandB Lotion,Personal Care,2.35,piece
GoodFarm Coke,Beverages,2.51,bottle
NaturePlus Jacket,Clothing,19.96,piece
BrandC Phone,Electronics,87.54,piece
GoodFarm Phone,Electronics,53.6,piece
EcoLife Bread,Bakery,3.04,kg
BrandC Potato,Vegetables,1.89,kg
GoodFarm Lentils,Food,1.88,pack
BrandC Bagel,Bakery,0.87,piece
NaturePlus Tomato,Vegetables,1.76,piece
GoodFarm Water,Beverages,1.59,bottle
GoodFarm Mango,Fruits,0.96,piece
NaturePlus Shampoo,Personal Care,4.26,piece
BrandC Cake,Bakery,1.68,kg
EcoLife Deodorant,Personal Care,4.07,piece
NaturePlus Apple,Fruits,1.76,piece
EcoLife Shirt,Clothing,5.0,piece
NaturePlus Lentils,Food,2.82,pack
GoodFarm TV,Electronics,171.46,piece
EcoLife Phone,Electronics,37.69,piece
BrandA Jacket,Clothing,18.96,piece
EcoLife Onion,Vegetables,1.19,kg
GoodFarm T-shirt,Clothing,13.02,piece
BrandC Jacket,Clothing,9.05,piece
BrandC Yogurt,Dairy,6.04,kg
EcoLife Oats,Food,1.38,piece
NaturePlus Shampoo,Personal Care,4.94,piece
NaturePlus Juice,Beverages,1.78,liter
GoodFarm Croissant,Bakery,4.89,piece
BrandB Cake,Bakery,3.65,piece
BrandC Pasta,Food,0.76,piece
BrandB Cream,Dairy,7.29,liter
BrandA Chicken,Meat,19.58,kg
EcoLife Toothpaste,Personal Care,2.48,piece
EcoLife Lentils,Food,2.63,pack
NaturePlus Beef,Meat,17.63,kg
NaturePlus TV,Electronics,33.4,piece
BrandA Potato,Vegetables,1.42,piece
EcoLife Shampoo,Personal Care,0.5,piece
BrandB Apple,Fruits,1.0,piece
